"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"DIELECTRIC";"MANUFACTURER";"MF";"MP";"PACKAGE";"PART_NO";"PRICE";"SUPPLIER";"TOLERANCE";"VALUE";"VOLTAGE";
"R13";"220R";"US0603-220R";"0603-RES";"Standard resistor package for most 1/4W (6mm) resistors. Suitable for both carbon and metal film type resistors. Package layouts vary between 1-6 0.1" hole spacings.";"";"";"";"YAGEO";"";"";"";"RC0603FR-07220RL";"";"MOUSER";"";"220R";"";
"R14";"220R";"US0603-220R";"0603-RES";"Standard resistor package for most 1/4W (6mm) resistors. Suitable for both carbon and metal film type resistors. Package layouts vary between 1-6 0.1" hole spacings.";"";"";"";"YAGEO";"";"";"";"RC0603FR-07220RL";"";"MOUSER";"";"220R";"";
"R15";"220R";"US0603-220R";"0603-RES";"Standard resistor package for most 1/4W (6mm) resistors. Suitable for both carbon and metal film type resistors. Package layouts vary between 1-6 0.1" hole spacings.";"";"";"";"YAGEO";"";"";"";"RC0603FR-07220RL";"";"MOUSER";"";"220R";"";
"R16";"220R";"US0603-220R";"0603-RES";"Standard resistor package for most 1/4W (6mm) resistors. Suitable for both carbon and metal film type resistors. Package layouts vary between 1-6 0.1" hole spacings.";"";"";"";"YAGEO";"";"";"";"RC0603FR-07220RL";"";"MOUSER";"";"220R";"";
"R17";"220R";"US0603-220R";"0603-RES";"Standard resistor package for most 1/4W (6mm) resistors. Suitable for both carbon and metal film type resistors. Package layouts vary between 1-6 0.1" hole spacings.";"";"";"";"YAGEO";"";"";"";"RC0603FR-07220RL";"";"MOUSER";"";"220R";"";
"R18";"220R";"US0603-220R";"0603-RES";"Standard resistor package for most 1/4W (6mm) resistors. Suitable for both carbon and metal film type resistors. Package layouts vary between 1-6 0.1" hole spacings.";"";"";"";"YAGEO";"";"";"";"RC0603FR-07220RL";"";"MOUSER";"";"220R";"";
"R19";"220R";"US0603-220R";"0603-RES";"Standard resistor package for most 1/4W (6mm) resistors. Suitable for both carbon and metal film type resistors. Package layouts vary between 1-6 0.1" hole spacings.";"";"";"";"YAGEO";"";"";"";"RC0603FR-07220RL";"";"MOUSER";"";"220R";"";
"R20";"220R";"US0603-220R";"0603-RES";"Standard resistor package for most 1/4W (6mm) resistors. Suitable for both carbon and metal film type resistors. Package layouts vary between 1-6 0.1" hole spacings.";"";"";"";"YAGEO";"";"";"";"RC0603FR-07220RL";"";"MOUSER";"";"220R";"";
"R21";"220R";"US0603-220R";"0603-RES";"Standard resistor package for most 1/4W (6mm) resistors. Suitable for both carbon and metal film type resistors. Package layouts vary between 1-6 0.1" hole spacings.";"";"";"";"YAGEO";"";"";"";"RC0603FR-07220RL";"";"MOUSER";"";"220R";"";
"R22";"220R";"US0603-220R";"0603-RES";"Standard resistor package for most 1/4W (6mm) resistors. Suitable for both carbon and metal film type resistors. Package layouts vary between 1-6 0.1" hole spacings.";"";"";"";"YAGEO";"";"";"";"RC0603FR-07220RL";"";"MOUSER";"";"220R";"";
